BUSINESS NAME,ADDRESS,CITY,ZIP CODE,NAICS CODE,PHONE NUMBER,WEBSITE,ABC LICENSE,ADDRESS AUTHORITY,ADDRESS ID,GEOMETRY
M AND M BAKER,2428 CHAMBERLAIN AVE,BAKER,70714,454000,,,NO,BAKER,190068,POINT (-91.183974633935 30.596677619487)
LOGO BLAST,18009 E AUGUSTA DR,BATON ROUGE,70810,424000,,,NO,PARISH,44772,POINT (-91.026022936186 30.329016097789)
AT&T,9530 LEMON RD,ZACHARY,70791,517110,,,NO,PARISH,156272,POINT (-91.081663824832 30.704578651974)
TEE PEE CLEANING,11919 ENGELSWOOD ST,BATON ROUGE,70811,,,,NO,PARISH,13881,POINT (-91.146166350109 30.555240157461)
LAKE,8200-8300 SUMMER LAKE DR,BATON ROUGE,70817,,,,NO,PARISH,132007,POINT (-90.981748768889 30.392135034952)
TREAD MED LLC,2216 TOLEDO ST,BAKER,70714,811000,,,NO,PARISH,55656,POINT (-91.132351126365 30.594935386539)
SUPERIOR FORD,4303 HIGHWAY 19,ZACHARY,70791,441000,,,NO,ZACHARY,194532,POINT (-91.151049902195 30.646284955636)
ANTIQUES,812 O'NEAL LN,BATON ROUGE,70816,453310,,,NO,PARISH,136399,POINT (-91.008833967765 30.456866435747)
HITTERS HOUSE,5801 SIEGEN LN,BATON ROUGE,70809,451000,,,NO,PARISH,97385,POINT (-91.057065734289 30.395736804879)
MARTIN COMMUNITY HOME,13445 ECTOR DR,BAKER,70714,621000,,,NO,BAKER,188270,POINT (-91.156662585413 30.568248463722)
WE R CPR,1024 PROGRESS ST,BATON ROUGE,70802,815000,,,NO,BATON ROUGE,2213,POINT (-91.157982894097 30.458275296635)
AIP,1706 FOXTON CT,BATON ROUGE,70815,532000,,,NO,BATON ROUGE,40159,POINT (-91.050208637806 30.440345515368)
WEST CHIMES PLACE,1215 W CHIMES ST,BATON ROUGE,70802,531110,,,NO,BATON ROUGE,15468,POINT (-91.189873460408 30.418296870172)
BIG EZ DISCOUNT,2336 HIGHLAND RD,BATON ROUGE,70802,445000,,,YES,BATON ROUGE,58249,POINT (-91.180287381267 30.425726411258)
WHO DAT POOLS LLC,8345 PRESCOTT RD,BATON ROUGE,70812,453000,,,NO,PARISH,117305,POINT (-91.102097818505 30.489599834286)
WHARTON-SMITH INC,17474 OPPORTUNITY AVE,BATON ROUGE,70817,236000,,,NO,PARISH,42219,POINT (-90.997350102734 30.353654990625)
SCENIC BARBER SHOP,7504 STE D SCENIC HWY,BATON ROUGE,70807,812000,,,NO,BATON ROUGE,243547,POINT (-91.176306476732 30.516499118563)
OVERHEAD DOOR CO,2155 CHURCH ST,ZACHARY,70791,454000,,,NO,ZACHARY,195110,POINT (-91.180886059434 30.654493404853)
ACOUSTICAL SPECIALTIES &SUPPLY,12433 S CHOCTAW DR,BATON ROUGE,70815,444000,,,NO,BATON ROUGE,18119,POINT (-91.04490381209 30.472510013903)
HANDS OF HOPE TRANSPORTATION SERVICE LLC,535 LANDWOOD DR,BATON ROUGE,70806,485000,,,NO,BATON ROUGE,92851,POINT (-91.101610963742 30.45594056628)
HOME OIL CO LLC,1515 S RIVER RD,BATON ROUGE,70802,424000,,,NO,BATON ROUGE,31213,POINT (-91.190742215673 30.432864778703)
SEXY HAIR SALON,12445 FLORIDA BLVD,BATON ROUGE,70815,812112,,,NO,BATON ROUGE,136902,POINT (-91.044345925056 30.461603647883)
VONNIEABS RESPITE CARE INC,3535 GOVERNMENT ST,BATON ROUGE,70806,541000,,,NO,BATON ROUGE,74110,POINT (-91.153405012272 30.444470871308)
STEWART & RILEY BARBER SHOP LLC,1515 STE E HARDING BLVD,BATON ROUGE,70807,812000,,,NO,BATON ROUGE,243553,POINT (-91.177793634973 30.520705801657)
THOMAS W KLEINPETER JR,610 NAPOLEON ST,BATON ROUGE,70802,541000,,,NO,BATON ROUGE,100214,POINT (-91.183879123485 30.442713980546)
MCNABB DAVIDSON MCQUEEN CPA,7668 GOODWOOD BLVD,BATON ROUGE,70806,541211,,,NO,BATON ROUGE,136307,POINT (-91.108447437972 30.441909319618)
CREATED BY TINA,23045 CARSON RD,ZACHARY,70791,454000,,,NO,PARISH,146663,POINT (-90.956523983636 30.687248749608)
O REILLY AUTO PARTS #551,4098 FLORIDA BLVD,BATON ROUGE,70806,441000,,,NO,BATON ROUGE,80066,POINT (-91.147621236323 30.450167317675)
BEAD JEWELRY BY ME,22940 PORTWOOD LN,ZACHARY,70791,454100,,,NO,PARISH,57427,POINT (-91.235891735781 30.683281969642)
GOLDEN RULE TRANSIT LLC,7024 PERIMETER DR,BATON ROUGE,70812,485000,,,NO,PARISH,107915,POINT (-91.12167266411 30.514671740797)
WYNDCHASER LIGHTING LLC,1443 STE 2 DELPLAZA DR,BATON ROUGE,70815,532000,,,NO,BATON ROUGE,134900,POINT (-91.08367587424 30.438841349429)
REALITY HOUSE,2056 NORTH BLVD,BATON ROUGE,70806,623990,,,NO,BATON ROUGE,52544,POINT (-91.167119406626 30.44754839416)
PARADIGM HOME STAGING,1066 W LAKEVIEW DR,BATON ROUGE,70810,541000,,,NO,PARISH,5897,POINT (-91.089641308516 30.361896620317)
CRESCENT CHAIRS,11947 PARKMEADOW AVE,BATON ROUGE,70816,485000,,,NO,BATON ROUGE,14146,POINT (-91.047423578291 30.407044045226)
GENERAL PAPER CO INC,11091 AIRLINE HWY,BATON ROUGE,70816,423000,,,NO,PARISH,135772,POINT (-91.055490652743 30.40334031213)
WILLIAM D GRIMLEY LTD,2051 STE 205 SILVERSIDE DR,BATON ROUGE,70808,541000,,,NO,BATON ROUGE,52443,POINT (-91.112733989169 30.395546934527)
FUGRO CONSULTANTS INC,4233 RHODA DR,BATON ROUGE,70816,815000,,,NO,PARISH,81489,POINT (-91.061072113557 30.412050279284)
ULTA BEAUTY,9330 MALL OF LOUISIANA BLVD,BATON ROUGE,70836,446000,,,NO,BATON ROUGE,144805,POINT (-91.081854503306 30.386452327527)
BAKER FUNERAL HOME,2100 W AZALEA AVE,BAKER,70714,541000,,,NO,BAKER,190390,POINT (-91.163382725339 30.595398598068)
TASTE LIKE GOOD CATERING,3202 PAMPAS ST,BATON ROUGE,70805,454000,,,NO,BATON ROUGE,142181,POINT (-91.157827412921 30.482557276062)
BURLINGTON COAT FACTORY WH #231,9632 AIRLINE HWY,BATON ROUGE,70815,,,,NO,BATON ROUGE,127301,POINT (-91.08519374418 30.431927064569)
ASPEN HEIGHT,5689 RIVER RD,BATON ROUGE,70820,238910,,,NO,BATON ROUGE,96373,POINT (-91.205656364697 30.392897955691)
JOHNNY DUNAWAY & J KENDRICK TALBOT,301 S T.J. JEMISON BLVD,BATON ROUGE,70802,531320,,,NO,BATON ROUGE,66966,POINT (-91.180172986572 30.444927722504)
FROGGS,11233 BRUNSWICK AVE,BATON ROUGE,70817,815000,,,NO,PARISH,9943,POINT (-90.992831946224 30.350782650718)
AZTECAS MEXICAN CUISINE,453 LAFAYETTE ST,BATON ROUGE,70801,722000,,,YES,BATON ROUGE,142535,POINT (-91.189685112029 30.45121833037)
